,ICD10,ICD10_formatted,PHECODE
2850,O62.1,O621,661.0
2851,M76.4,M764,726.3
2852,T34.0,T340,1014.0
2853,R06,R06,513.0
2854,S29.9,S299,1009.0
2855,P01,P01,658.0
2856,K43.9,K439,550.0
2857,N03.0,N030,580.14
2858,D01.7,D017,159.0
2859,G91.3,G913,331.1
2860,Z03.0,Z030,1010.0
2861,E28.2,E282,256.4
2862,N35.8,N358,597.1
2863,R59.1,R591,289.4
2864,D53.2,D532,281.0
2865,R84.7,R847,1010.0
2866,I42.3,I423,425.1
2867,C94.3,C943,204.0
2868,N18.9,N189,585.3
2869,M30.2,M302,446.6
2870,K22.4,K224,530.5
2871,M17.3,M173,836.0
2872,N43.4,N434,603.2
2873,M06.8,M068,714.1
2874,N04.0,N040,580.12
2875,T43.1,T431,969.0
2876,J80-J84.9,J80-J849,509.2
2877,D17.6,D176,214.0
2878,E87.4,E874,276.4
2879,H73.0,H730,384.1
2880,Q68.3,Q683,755.6
2881,A22.7,A227,38.2
2882,M53.9,M539,721.8
2883,A52.1,A521,90.0
2884,R09.3,R093,516.0
2885,M85.3,M853,733.0
2886,F25,F25,295.1
2887,S11,S11,870.6
2888,A40.2,A402,41.2
2889,L44.3,L443,695.7
2890,E76.9,E769,271.9
2891,G36.0,G360,341.0
2892,R82.1,R821,598.0
2893,K07.6,K076,526.41
2894,S66.7,S667,1009.0
2895,H01,H01,371.3
2896,Q16,Q16,749.0
2897,P14.8,P148,665.0
2898,B66.3,B663,134.0
2899,Y46.0,Y460,966.0
2900,G97.0,G970,1011.0
2901,E67.1,E671,278.0
2902,E15-E16.9,E15-E169,251.1
2903,K04.6,K046,522.5
2904,Q72.4,Q724,755.6
2905,I20.0,I200,411.1
2906,H11.4,H114,372.0
2907,A40.2,A402,38.1
2908,M53.9,M539,742.9
2909,R44,R44,1019.0
2910,F00.1,F001,290.11
2911,S96.0,S960,1009.0
2912,A49.3,A493,41.0
2913,G93.1,G931,348.0
2914,M95,M95,738.0
2915,G43.9,G439,340.0
2916,N41.9,N419,601.1
2917,E67.3,E673,278.0
2918,K60.3,K603,565.0
2919,T25.7,T257,1000.0
2920,N62,N62,612.2
2921,Q18.8,Q188,749.0
2922,H31.8,H318,363.0
2923,Q51.5,Q515,751.11
2924,K28.4,K284,531.1
2925,F84.5,F845,313.3
2926,P71.1,P711,656.3
2927,O10.4,O104,642.0
2928,I67.2,I672,433.12
2929,S36.5,S365,1008.0
2930,R18,R18,572.0
2931,Q67.4,Q674,749.0
2932,J30.0,J300,476.0
2933,P04.2,P042,658.0
2934,J03.8,J038,474.1
2935,G80.0,G800,343.0
2936,N20.9,N209,594.0
2937,K63.3,K633,556.1
2938,K28.5,K285,531.5
2939,Y31,Y31,297.0
2940,A44.1,A441,133.0
2941,Q66.9,Q669,755.1
2942,S77,S77,1006.0
2943,S99.9,S999,1009.0
2944,T62.0,T620,988.0
2945,C49.8,C498,170.2
2946,A07.8,A078,8.7
2947,C76.0,C760,195.3
2948,Q32.1,Q321,748.0
2949,Z90.5,Z905,175.0
2950,I78.8,I788,448.0
2951,K82.2,K822,575.7
2952,P22.9,P229,661.0
2953,I30.9,I309,420.21
2954,A67.0,A670,130.0
2955,O99.7,O997,649.0
2956,A28.0,A280,41.0
2957,H67.8,H678,381.1
2958,A17.9,A179,10.0
2959,D21.4,D214,215.0
2960,L85.3,L853,706.8
2961,B69,B69,134.1
2962,Q92.1,Q921,758.1
2963,M33.2,M332,709.4
2964,N00-N99.9,N00-N999,599.0
2965,I88,I88,289.4
2966,Q64.4,Q644,751.2
2967,A27.9,A279,130.0
2968,E27.5,E275,255.13
2969,L27.8,L278,939.0
2970,C15.8,C158,150.0
2971,F11.1,F111,316.0
2972,H43.1,H431,379.2
2973,H33.0,H330,361.1
2974,S04.2,S042,907.0
2975,K43,K43,550.5
2976,T01.9,T019,1009.0
2977,T01.9,T019,870.6
2978,S18,S18,870.6
2979,S99.7,S997,1009.0
2980,D33.7,D337,225.0
2981,B08.3,B083,79.0
2982,T01.9,T019,1008.0
2983,N04.6,N046,580.11
2984,G52.1,G521,352.0
2985,T43.5,T435,969.0
2986,D80.8,D808,279.1
2987,M31.4,M314,446.7
2988,Q74.0,Q740,755.4
2989,N13.5,N135,586.4
2990,I74.5,I745,444.0
2991,T18.4,T184,1001.0
2992,N32.4,N324,596.0
2993,B53.8,B538,133.0
2994,O12.0,O120,646.0
2995,K55,K55,441.0
2996,E05.9,E059,242.0
2997,D35.5,D355,227.0
2998,K57.9,K579,562.1
2999,N11.1,N111,586.4
3000,C43.0,C430,172.11
3001,I80,I80,451.0
3002,K86.8,K868,577.0
3003,G45.9,G459,433.31
3004,Q15.0,Q150,753.0
3005,N11.1,N111,590.0
3006,L98.2,L982,695.8
3007,A44,A44,133.0
3008,L94.2,L942,689.0
3009,G91.1,G911,331.1
3010,B21.1,B211,202.2
3011,O65.0,O650,652.0
3012,O98.5,O985,647.0
3013,S12,S12,805.0
3014,S35.8,S358,1009.0
3015,B21.1,B211,71.1
3016,T31.8,T318,1000.0
3017,K71,K71,70.9
3018,T65.2,T652,989.0
3019,K80,K80,574.1
3020,S35.8,S358,915.0
3021,E21.5,E215,252.0
3022,T75.0,T750,1015.0
3023,H74.2,H742,385.5
3024,E46,E46,260.0
3025,I24,I24,411.9
3026,S85.5,S855,1007.0
3027,S35.8,S358,1007.0
3028,H33.4,H334,361.0
3029,G57.1,G571,351.0
3030,H49.1,H491,378.5
3031,K50,K50,555.1
3032,Q17.8,Q178,749.0
3033,R50,R50,783.0
3034,Q95.0,Q950,758.1
3035,R69,R69,1019.0
3036,N48.3,N483,604.0
3037,H10-H13.9,H10-H139,372.0
3038,C45-C49.9,C45-C499,170.2
3039,T02.0,T020,805.0
3040,A16.0,A160,10.0
3041,S29.7,S297,1009.0
3042,D73.2,D732,289.5
3043,N13,N13,599.1
3044,B43.2,B432,117.0
3045,A79.9,A799,136.0
3046,G54.2,G542,353.2
3047,G51.8,G518,352.2
3048,J68.8,J688,500.0
3049,A93.1,A931,79.0
3050,D46.3,D463,204.21
3051,Q67.6,Q676,756.21
3052,R49.0,R490,473.4
3053,F01,F01,290.16
3054,K05.6,K056,523.0
3055,S90.3,S903,1009.0
3056,T02.0,T020,819.0
3057,A53.9,A539,90.0
3058,A07.3,A073,8.0
3059,K60.1,K601,565.0
3060,C84.2,C842,202.2
3061,M60.9,M609,770.0
3062,E30.8,E308,259.4
3063,K00.1,K001,520.1
3064,S02.9,S029,819.0
3065,C63.8,C638,187.1
3066,R85.6,R856,1010.0
3067,M60.9,M609,359.2
3068,N48.2,N482,601.8
3069,K66.0,K660,568.1
3070,Z23.3,Z233,1010.0
3071,Y33,Y33,297.0
3072,G41.0,G410,345.1
3073,Q38.8,Q388,750.13
3074,I70,I70,440.0
3075,Z37.9,Z379,651.0
3076,Z37.9,Z379,634.0
3077,G05.0,G050,323.0
3078,K23.0,K230,530.0
3079,M99.1,M991,830.0
3080,J15.2,J152,480.1
3081,I61.8,I618,430.2
3082,D37.3,D373,158.0
3083,B46.5,B465,117.0
3084,I74,I74,444.0
3085,M24.9,M249,742.9
3086,B55.0,B550,133.0
3087,E73.1,E731,271.3
3088,N84.2,N842,622.0
3089,H25.8,H258,366.2
3090,Q27.2,Q272,747.2
3091,I60,I60,430.1
3092,T33.2,T332,1014.0
3093,H25.8,H258,379.3
3094,G55,G55,353.0
3095,F50.1,F501,305.2
3096,O73.0,O730,669.0
3097,S09.2,S092,1009.0
3098,N16.3,N163,580.32
3099,O29.8,O298,646.0
3100,B37,B37,112.0
3101,T15.8,T158,1001.0
3102,I82.3,I823,452.0
3103,A80.0,A800,324.0
3104,E16.3,E163,251.8
3105,K74.6,K746,571.0
3106,C78.5,C785,198.3
3107,N39.1,N391,269.0
3108,Q33.6,Q336,748.0
3109,O34.6,O346,619.4
3110,S27.5,S275,1008.0
3111,O42.2,O422,653.0
3112,L51.1,L511,695.1
3113,G40.9,G409,345.0
3114,K74.6,K746,571.51
3115,R16.2,R162,573.3
3116,S42.3,S423,803.1
3117,D57.1,D571,282.5
3118,S05.5,S055,1001.0
3119,S04.0,S040,907.0
3120,E12.5,E125,249.0
3121,R82.4,R824,250.5
3122,N32.8,N328,596.0
3123,L71.0,L710,695.3
3124,M41,M41,737.3
3125,I85.9,I859,530.2
3126,I45.2,I452,426.3
3127,E12.5,E125,260.2
3128,K05.3,K053,523.32
3129,R30.9,R309,599.3
3130,R16.2,R162,579.2
3131,I66.9,I669,433.2
3132,O00,O00,634.3
3133,T27,T27,1000.0
3134,M40.3,M403,737.1
3135,F06.6,F066,290.3
3136,S36,S36,1008.0
3137,T48.3,T483,975.0
3138,A20.2,A202,480.1
3139,K11,K11,527.0
3140,L58.9,L589,938.0
3141,A32.9,A329,41.0
3142,F64.9,F649,302.0
3143,Q18.5,Q185,749.0
3144,G25.3,G253,333.2
3145,N06.0,N060,580.32
3146,Z24.6,Z246,1010.0
3147,A22,A22,41.0
3148,L63.1,L631,704.1
3149,L56.2,L562,938.1
3150,T19.0,T190,1001.0
3151,S93.1,S931,830.0
3152,A83.9,A839,323.0
3153,M41.9,M419,737.3
3154,C43.2,C432,172.11
3155,T32.9,T329,1000.0
3156,S66.9,S669,1009.0
3157,H81.3,H813,386.2
3158,O28.2,O282,656.0
3159,S80.7,S807,915.0
3160,H95.9,H959,388.0
3161,K26.9,K269,531.3
3162,F93.0,F930,313.0
3163,O89.3,O893,668.0
3164,M11.1,M111,274.21
3165,L05,L05,686.3
3166,F12.1,F121,316.0
3167,T51.0,T510,317.0
3168,Q92.0,Q920,758.1
3169,S01.0,S010,870.3
3170,A89,A89,323.0
3171,B96.4,B964,41.0
3172,I60.8,I608,430.1
3173,B69.0,B690,134.1
3174,R87.2,R872,1010.0
3175,O65,O65,652.0
3176,M18.9,M189,740.1
3177,B05.2,B052,480.2
3178,P11.3,P113,665.0
3179,I25,I25,411.8
3180,H62.8,H628,380.1
3181,G50-G59.9,G50-G599,352.1
3182,T85.9,T859,859.0
3183,N10,N10,590.0
3184,F16.5,F165,316.0
3185,R83.6,R836,346.3
3186,P80.8,P808,656.7
3187,K28.1,K281,531.5
3188,S36.0,S360,1008.0
3189,L98.5,L985,701.0
3190,B99,B99,136.0
3191,A24,A24,41.0
3192,Q10.5,Q105,749.0
3193,H62.8,H628,380.0
3194,P71.9,P719,656.3
3195,K85,K85,577.1
3196,X82,X82,297.2
3197,M35.3,M353,717.0
3198,T00.9,T009,915.0
3199,I31.8,I318,420.22
3200,N13.2,N132,595.0
3201,I25.4,I254,411.41
3202,Q41.9,Q419,750.21
3203,H33,H33,361.1
3204,T45.9,T459,963.0
3205,N17.8,N178,585.1
3206,N43.3,N433,603.1
3207,T69.0,T690,1014.0
3208,Q42.9,Q429,750.21
3209,M22.8,M228,741.0
3210,M31.9,M319,447.0
3211,D69.9,D699,287.0
3212,Q51.7,Q517,751.11
3213,F33.0,F330,296.22
3214,C06.1,C061,145.0
3215,I22,I22,411.2
3216,A18.7,A187,10.0
3217,P72.2,P722,656.3
3218,L24.6,L246,930.0
3219,N03.1,N031,580.12
3220,R79.0,R790,790.6
3221,T88.2,T882,967.0
3222,S27.0,S270,1008.0
3223,A15-A19.9,A15-A199,10.0
3224,K35.1,K351,540.11
3225,M96.1,M961,722.8
3226,N90.7,N907,619.5
3227,F52.9,F529,302.0
3228,M35.4,M354,772.0
3229,C00.0,C000,145.1
3230,N64.1,N641,613.1
3231,S34.5,S345,952.0
3232,R50.0,R500,783.0
3233,Q23.1,Q231,747.12
3234,C40.9,C409,170.1
3235,Q06.2,Q062,752.2
3236,N41.8,N418,601.1
3237,S23.5,S235,1009.0
3238,L65.2,L652,704.1
3239,E44.0,E440,260.0
3240,A68.0,A680,130.0
3241,J33,J33,471.0
3242,D89.9,D899,279.0
3243,T36.6,T366,960.0
3244,C34.0,C340,165.1
3245,E34.4,E344,253.11
3246,Q54.9,Q549,751.12
3247,F52.2,F522,605.0
3248,O85,O85,647.3
3249,S35.0,S350,1007.0
3250,A06.7,A067,8.0
3251,E80.3,E803,277.0
3252,M61.0,M610,728.1
3253,D20.0,D200,199.0
3254,N74,N74,614.0
3255,S56,S56,1009.0
3256,D20.0,D200,215.0
3257,R83.9,R839,346.3
3258,O12,O12,646.0
3259,O61.1,O611,645.0
3260,D12.2,D122,208.0
3261,K14.4,K144,529.0
3262,S60.0,S600,916.0
3263,D20.0,D200,229.0
3264,Z85.0,Z850,159.0
3265,S25.7,S257,1007.0
3266,F52.2,F522,302.0
3267,Y62.3,Y623,1011.0
3268,T27.0,T270,1000.0
3269,A01.1,A011,8.0
3270,R19.6,R196,293.0
3271,D64.4,D644,285.0
3272,A25.0,A250,41.0
3273,L98.1,L981,695.8
3274,N13.6,N136,590.0
3275,Q68.8,Q688,755.4
3276,T70.3,T703,1014.0
3277,K31.9,K319,537.0
3278,M19.0,M190,740.9
3279,Q80.3,Q803,691.1
3280,I24.8,I248,411.9
3281,N74.2,N742,90.0
3282,H73,H73,384.0
3283,S44.2,S442,907.0
3284,Q68.8,Q688,756.0
3285,S26,S26,1008.0
3286,N74.2,N742,614.0
3287,M10.0,M100,274.11
3288,L10.9,L109,695.22
3289,D53.8,D538,281.0
3290,I28.9,I289,415.0
3291,M22.0,M220,742.2
3292,F98.0,F980,313.0
3293,T04.3,T043,1006.0
3294,N33,N33,596.0
3295,M22.4,M224,835.0
3296,A75.1,A751,136.0
3297,M86.3,M863,710.12
3298,E03.5,E035,348.7
3299,Q04.1,Q041,752.2
3300,T21.5,T215,1000.0
3301,B64,B64,136.0
3302,C17.3,C173,159.2
3303,M23.9,M239,835.0
3304,D16,D16,213.0
3305,J12.8,J128,480.2
3306,S04,S04,907.0
3307,R86,R86,609.2
3308,Y41.0,Y410,961.1
3309,L30.5,L305,696.3
3310,K75.4,K754,70.4
3311,Q15.8,Q158,753.0
3312,D09,D09,195.0
3313,C22.2,C222,155.1
3314,J38.5,J385,473.3
3315,R94.5,R945,573.7
3316,C45.2,C452,164.0
3317,G40.4,G404,345.11
3318,L23.0,L230,939.0
3319,O87.8,O878,671.0
3320,G40.4,G404,345.3
3321,R52.1,R521,1005.0
3322,F90.1,F901,313.1
3323,P61.8,P618,656.5
3324,H32,H32,363.0
3325,N85.5,N855,619.2
3326,I34.1,I341,395.1
3327,Q84.6,Q846,757.0
3328,A30-A49.9,A30-A499,41.0
3329,E11.4,E114,250.24
3330,I34.1,I341,394.2
3331,O74.4,O744,668.0
3332,E14,E14,250.0
3333,L66.8,L668,704.1
3334,E78.0,E780,272.11
3335,I01.0,I010,420.21
3336,C95.0,C950,204.0
3337,Q51.4,Q514,751.11
3338,I34.1,I341,411.41
3339,N61,N61,613.1
3340,O26.3,O263,857.0
3341,E51.1,E511,261.2
3342,O36.6,O366,655.0
3343,L25.5,L255,931.0
3344,T49.1,T491,976.0
3345,O66.2,O662,652.0
3346,J13,J13,480.11
3347,Q35.3,Q353,749.1
3348,P01.4,P014,658.0
3349,S07.8,S078,1006.0
3350,Q75.8,Q758,749.2
3351,M92.9,M929,732.1
3352,C57.3,C573,184.1
3353,Q82,Q82,757.0
3354,A04.2,A042,8.51
3355,P25.3,P253,656.22
3356,I27.1,I271,415.2
3357,Z01.5,Z015,1010.0
3358,C02.9,C029,145.2
3359,L08,L08,686.0
3360,H00-H59.9,H00-H599,379.0
3361,C92.5,C925,204.21
3362,D01.9,D019,159.0
3363,M05-M14.9,M05-M149,714.0
3364,L51.9,L519,695.1
3365,D41.3,D413,199.0
3366,L95.8,L958,694.3
3367,P39.3,P393,657.0
3368,K40.0,K400,550.1
3369,N94.5,N945,626.2
3370,G51,G51,352.2
3371,O20.8,O208,636.3
3372,Q63.9,Q639,751.22
3373,Z96.1,Z961,366.0
3374,D05.0,D050,195.0
3375,S32.8,S328,1009.0
3376,B20-B24.9,B20-B249,71.1
3377,Q38.4,Q384,750.13
3378,Q36.0,Q360,749.1
3379,Q38.4,Q384,750.1
3380,D05.0,D050,187.0
3381,Q00-Q07.9,Q00-Q079,752.0
3382,C24.1,C241,159.3
3383,L66.4,L664,701.0
3384,Q66,Q66,755.1
3385,O60-O75.9,O60-O759,669.0
3386,M72.0,M720,728.71
3387,H59.0,H590,1011.0
3388,J39,J39,479.0
3389,H18.1,H181,364.2
3390,O64.3,O643,652.0
3391,N94.4,N944,626.2
3392,M72.1,M721,728.0
3393,R94.6,R946,246.7
3394,F98.8,F988,313.0
3395,S82.8,S828,800.0
3396,E22.1,E221,253.1
3397,Z90.0,Z900,175.0
3398,I07,I07,394.7
3399,D05.0,D050,174.0
3400,S32.8,S328,915.0
3401,E78.6,E786,277.51
3402,C50.0,C500,174.11
3403,S65.4,S654,1007.0
3404,K52.0,K520,990.0
3405,Q32.3,Q323,748.0
3406,Q25.4,Q254,747.13
3407,R44.2,R442,292.6
3408,I13.2,I132,401.2
3409,M46.5,M465,715.0
3410,C02.1,C021,145.2
3411,E83.3,E833,275.53
3412,G56.2,G562,351.0
3413,D12.6,D126,208.0
3414,R23.8,R238,687.0
3415,H02.0,H020,374.1
3416,M32.8,M328,695.42
3417,M31.5,M315,446.5
3418,T28.4,T284,1000.0
3419,T61.9,T619,988.0
3420,M90.6,M906,731.1
3421,A67,A67,130.0
3422,Q67.5,Q675,754.0
3423,I51.3,I513,411.2
3424,I47.1,I471,427.11
3425,C41.3,C413,170.1
3426,R00,R00,396.0
3427,T44.9,T449,971.0
3428,L10.0,L100,695.22
3429,C51.2,C512,184.2
3430,T56.9,T569,985.0
3431,P11.0,P110,665.0
3432,H10.1,H101,369.5
3433,G50.1,G501,352.1
3434,E34.9,E349,259.0
3435,L74.8,L748,705.0
3436,A71.1,A711,369.0
3437,I66.1,I661,433.2
3438,C14,C14,149.0
3439,O08.1,O081,639.0
3440,G31.9,G319,331.9
3441,B36.8,B368,110.2
3442,S35.2,S352,1007.0
3443,T48.2,T482,975.0
3444,I63.6,I636,433.21
3445,P37.2,P372,657.0
3446,D59.2,D592,283.2
3447,M76.1,M761,726.1
3448,L08.9,L089,686.0
3449,C82.1,C821,202.2
3450,L72.0,L720,706.2
3451,H70.0,H700,381.3
3452,D60,D60,284.0
3453,G44,G44,339.0
3454,H25.1,H251,366.2
3455,R12,R12,530.9
3456,G56.3,G563,351.0
3457,O99.6,O996,646.0
3458,N48.4,N484,605.0
3459,T43.0,T430,969.0
3460,S51.0,S510,871.0
3461,G25.6,G256,333.3
3462,D37.0,D370,158.0
3463,A15.1,A151,10.0
3464,H53.5,H535,368.5
3465,C13.2,C132,149.3
3466,E64.3,E643,261.41
3467,C84.3,C843,202.2
3468,T83.1,T831,857.0
3469,O32.5,O325,652.0
3470,K00.4,K004,520.1
3471,S74.0,S740,907.0
3472,R86.8,R868,609.2
3473,D89.1,D891,270.32
3474,H31.2,H312,363.4
3475,M11.2,M112,274.21
3476,D80.9,D809,279.1
3477,F31.8,F318,296.1
3478,S67.0,S670,1006.0
3479,B26.0,B260,79.0
3480,D13.2,D132,211.0
3481,Z65.0,Z650,317.1
3482,K00.0,K000,520.1
3483,C72.1,C721,191.1
3484,O47.1,O471,636.0
