,OMIM_ID,HPO_ID
0,100050,28
1,100050,49
2,100050,175
3,100050,202
4,100050,204
5,100050,316
6,100050,327
7,100050,343
8,100050,349
9,100050,394
10,100050,431
11,100050,463
12,100050,484
13,100050,486
14,100050,494
15,100050,508
16,100050,602
17,100050,765
18,100050,954
19,100050,974
20,100050,1004
21,100050,1156
22,100050,1159
23,100050,1371
24,100050,1388
25,100050,1394
26,100050,1417
27,100050,1470
28,100050,1763
29,100050,1972
30,100050,2023
31,100050,2055
32,100050,2240
33,100050,2816
34,100050,3318
35,100050,3502
36,100050,4792
37,100050,5190
38,100050,6530
39,100050,9466
40,100050,10886
41,100050,30084
42,100070,6
43,100070,7
44,100070,1426
45,100070,5112
46,100100,7
47,100100,28
48,100100,72
49,100100,126
50,100100,217
51,100100,767
52,100100,768
53,100100,951
54,100100,1374
55,100100,1562
56,100100,1627
57,100100,1643
58,100100,1762
59,100100,2023
60,100100,4392
61,100100,5199
62,100100,10957
63,100200,6
64,100200,486
65,100200,11349
66,100300,6
67,100300,175
68,100300,204
69,100300,252
70,100300,565
71,100300,568
72,100300,822
73,100300,965
74,100300,1156
75,100300,1249
76,100300,1250
77,100300,1252
78,100300,1263
79,100300,1290
80,100300,1302
81,100300,1362
82,100300,1596
83,100300,1629
84,100300,1631
85,100300,1636
86,100300,1642
87,100300,1647
88,100300,1650
89,100300,1762
90,100300,1770
91,100300,1792
92,100300,2079
93,100300,2084
94,100300,2092
95,100300,2119
96,100300,2126
97,100300,2539
98,100300,2558
99,100300,2558
100,100300,4383
101,100300,4415
102,100300,6970
103,100300,7589
104,100300,7590
105,100300,30011
106,100600,6
107,100600,956
108,100650,6
109,100650,1033
110,100650,3533
111,100675,6
112,100675,952
113,100700,6
114,100700,248
115,100700,347
116,100700,1166
117,100700,1388
118,100700,2682
119,100800,6
120,100800,238
121,100800,272
122,100800,403
123,100800,405
124,100800,1156
125,100800,1270
126,100800,1355
127,100800,1377
128,100800,2007
129,100800,2512
130,100800,2677
131,100800,2761
132,100800,2781
133,100800,2938
134,100800,2970
135,100800,3015
136,100800,3093
137,100800,4060
138,100800,5280
139,100800,5733
140,100800,8414
141,100800,8905
142,100800,8921
143,100800,8947
144,100800,11800
145,100800,100864
146,100820,6
147,100820,25096
148,101000,6
149,101000,360
150,101000,365
151,101000,957
152,101000,1250
153,101000,1251
154,101000,2315
155,101000,2321
156,101000,2858
157,101000,2888
158,101000,7935
159,101000,9589
160,101000,9590
161,101000,9592
162,101000,9593
163,101000,9594
164,101000,9595
165,101000,9830
166,101000,100014
167,101000,100019
168,101120,6
169,101120,263
170,101120,272
171,101120,274
172,101120,303
173,101120,316
174,101120,327
175,101120,369
176,101120,377
177,101120,470
178,101120,586
179,101120,678
180,101120,1159
181,101120,1177
182,101120,1363
183,101120,9816
184,101120,10055
185,101120,11304
186,101120,12368
187,101200,6
188,101200,28
189,101200,126
190,101200,148
191,101200,175
192,101200,189
193,101200,193
194,101200,238
195,101200,239
196,101200,244
197,101200,270
198,101200,272
199,101200,303
200,101200,316
201,101200,337
202,101200,348
203,101200,365
204,101200,389
205,101200,452
206,101200,453
207,101200,486
208,101200,494
209,101200,586
210,101200,684
211,101200,689
212,101200,1061
213,101200,1162
214,101200,1177
215,101200,1249
216,101200,1274
217,101200,1331
218,101200,1355
219,101200,1507
220,101200,1629
221,101200,2021
222,101200,2032
223,101200,2119
224,101200,2623
225,101200,3041
226,101200,4397
227,101200,4440
228,101200,4468
229,101200,4487
230,101200,4635
231,101200,5048
232,101200,5280
233,101200,7099
234,101200,7291
235,101200,7343
236,101200,8111
237,101200,9642
238,101200,10554
239,101200,11800
240,101200,12368
241,101200,100702
242,101400,6
243,101400,175
244,101400,189
245,101400,248
246,101400,263
247,101400,270
248,101400,272
249,101400,294
250,101400,316
251,101400,324
252,101400,327
253,101400,348
254,101400,365
